,stars_x,useful,text,name,address,postal_code,stars_y,attributes,categories
0,4,1,"Our room on the second floor was very nice. The decor is Victorian, from the furniture to the color palette, even down to the little octagonal black and white tiles in the bathroom. There was a lovely fireplace, and the toilet tank was mounted by the ceiling with a pull chain to flush.
There was a small sitting area and full sink, countertop and mini fridge, a full sized coffee maker and a small flat screen TV. The mattress was comfortable, the towels were soft and there was good water pressure in the shower.
We stayed in the winter and the room was toasty warm.
From our room you could hear the traffic noise, especially due to the wet roads, and the room is above a bar. From the bathroom we could hear distant voices, maybe from the bar or from an adjoining room, but it wasn't a problem. I could hear people walking in their room on third floor a couple of times.
The thing that was a surprise as far as noise were the trains that went through in the wee hours of the morning. We had arrived after dark and didn't notice that a railway crossing was right outside our window one story down, and at least twice trains went by and blew their horns a few toots as they passed the intersection.
We had some drinks, including complimentary ones for our stay, at the Up North, and the bartender told us we could take drinks and popcorn up to the room if we would like.
The Hotel Ruby Marie was a charming stay and I would stay again if I were looking to spend some time in the area.",Hotel Ruby Marie,524 E Wilson St,53703,4.0,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Bed & Breakfast, Hotels & Travel, Hotels, Event Planning & Services"
1,3,0,"This hotel has good intentions.   The service was adequate.  The room was clean.  The vintage decor of this place does not resonate with me.  I don't get it. ..it just looks outdated...but not in a fashionable way ...just in a we're going to grandma's house kinda way...In fact, after having stayed the weekend here, im sarting to wonder if all the 4  & 5 star reviews i read beforehand about the vintage charm of the hotel are even real.   

The breakfast at the Come Back In was the real deal.  The buttermilk pancakes were a little bland, the pan fried potatoes were tasty but greasy but, even with that said, breakfast being included as part of the hotel  pkg is definitely a huge plus.

Overall, this hotel wouldn't be must first choice to stay at should i need to stay a couple nights in Madison in the future.",Hotel Ruby Marie,524 E Wilson St,53703,4.0,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Bed & Breakfast, Hotels & Travel, Hotels, Event Planning & Services"
2,4,0,"I throughly enjoyed my stay in this very neat historical building. Id prefer to be able to rate with half stars simply because it deserves 4.5. The only reason not giving 5, is because we couldn't adjust the heat in the room and it was so hot we had to open all the windows because there is no concierge after 7pm. The breakfast in the morning was wonderful, fast and excellent service. I would absolutely stay again but ideally a different room with climate control.",Hotel Ruby Marie,524 E Wilson St,53703,4.0,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Bed & Breakfast, Hotels & Travel, Hotels, Event Planning & Services"
3,3,5,"Ok, so I chose this place because I love old, and quirky, and full of history and kindness, and in all these aspects I was not disappointed. This lovely creepy cool old hotel was perfectly clean and there were little shared porches, and the bed was comfy, and the bathroom was recently renovated, and the long blood red hallways were hung with vintage photos of horrifyingly judgmental looking Victorians. All of this I enjoy a great deal. The staff were all super nice. 

Where it all broke down for me was first, the noise. It sounded like ghosts were cranking machines in all the walls of my bedroom and the machines were full of water and rusty metal and crumbling cement, and it happened all night while the heat swooped from sweaty hot to icy hand of death cold. On the second day I was there the wifi went down, and I weirdly couldn't get phone calls or texts as well, and when I tried to call the front desk the phone in my room didn't work. 

I chalk this all up to ghosts and history and character, and it wasn't a huge problem, but I'd hesitate before I chose this place again. I loved the location across from the lake and I loved the fresh free pastries downstairs, and I loved the sweet dive bar attached to the hotel. I'm so torn. Did I mention the staff were super nice?",Hotel Ruby Marie,524 E Wilson St,53703,4.0,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Bed & Breakfast, Hotels & Travel, Hotels, Event Planning & Services"
4,5,2,"I'm giving this locally owned spot 5 stars for the simple fact that everyone I've sent there has loved it.  With the amazing rates (forget about inflated prices), proximity to the best food & retail as well as bike path and lake, and free drinks at the Up North this is the spot.  Side note: Scottish band Camera Obscura claims the place is haunted, which is very cool.",Hotel Ruby Marie,524 E Wilson St,53703,4.0,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Bed & Breakfast, Hotels & Travel, Hotels, Event Planning & Services"
5,5,1,"I've stayed at the Ruby Marie twice now, and I love it! They have a quick and easy check in/out process. The staff is friendly and helpful. It's quiet at night so you can get some quality sleep, and the beds are super comfortable. My room was very clean, and it looked out onto a little courtyard below with other visitors enjoying a wine and the summer weather.  
It's location is great-far enough from the nightlife of downtown that you don't hear street noise, but close enough that you can walk to fantastic bars and restaurants. An added bonus is the local bar connected to the Ruby Marie. They had a great band while we were there. And there's a sand volleyball court right outside by the (free) parking lot. I'm not sure who owns it, but it makes for a really fun and welcoming environment. 
I highly recommend staying here. I will absolutely be back.",Hotel Ruby Marie,524 E Wilson St,53703,4.0,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Bed & Breakfast, Hotels & Travel, Hotels, Event Planning & Services"
6,5,0,"Have stayed here twice for business and was equally impressed both times. The room and facilities are clean, feel very safe, and are within walking distance of food, shopping, and entertainment. Staff was extremely friendly and attentive to my needs. The morning breakfast was exceptional and the coffee fantastic. Used the bar service on this past trip and Paul was very friendly with a lot of interesting information about Madison. All and all, I can say most Radisson hotels are a bit above the rest and this one was no exception to that statement. Thank you to the staff for the hospitality! I will be back soon!",Radisson Hotel - Madison,517 Grand Canyon Dr,53719,3.5,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2'}","Hotels, Hotels & Travel, Event Planning & Services"
7,5,0,"We booked at this place the same day after having a bad customer service experience at the Country Inn and Suites and I am so glad we chose the Radisson Inn!  They went ABOVE and beyond and you can tell that it's how they naturally are. Jose Viveros was absolutely amazing in customer service and guest relations and if I could give him more than 5 starts I would do that. At check in he made us feel so valued and when we asked if they had hot water for tea available he got it for us! There's so much more I can gush about but I will say this, I would anyone to stay here because you feel valued, you're surrounded around a lot of food and shopping areas, near the expressway, and did i mention amazing customer service?  Thank you again!",Radisson Hotel - Madison,517 Grand Canyon Dr,53719,3.5,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2'}","Hotels, Hotels & Travel, Event Planning & Services"
8,4,0,"My family frequents to this cambria when visiting friends in madison and it is usually our go to place if we decide not to stay downtown. Its well designed, clean and the staff are great. The workout room is one of the nicest ones ive used, ever in a hotel. The pool is ehhh, but overall On the small side.  Big thanks to the breakfast lady who always does well with my daughter in the morning, just overall friendliness. 

We will be returning :)",Cambria Hotel Madison East,5045 Eastpark Blvd,53718,4.0,"{'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'""}","Hotels & Travel, Nightlife, Event Planning & Services, Hotels, Bars"
9,5,0,"The entire hotel was very clean and organized. The restaurant ""Twist"" had great food, drinks and service. Ben was incredible with customer service and knowledge. Paul was a great as well. Great weekend stay and customer service was perfect throughout the entire hotel!",Radisson Hotel - Madison,517 Grand Canyon Dr,53719,3.5,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2'}","Hotels, Hotels & Travel, Event Planning & Services"
